"","Var1","Var2","value"
"235","CD84","VASN",0.447733607963506
"236","PRSS8","VASN",0.499600044427781
"237","PSGL-1","VASN",0.562844636011339
"238","PAR-1","VASN",0.529805641677699
"239","CXCL5","VASN",0.433645811493659
"240","CXCL11","VASN",0.507807283249192
"241","CCL20","VASN",0.651528585131723
"242","CTSL1","VASN",0.47404772174211
"243","CA3","VASN",0.426545856994929
"244","CNDP1","VASN",0.544574747958397
"245","THBS4","VASN",0.46596773013044
"246","SERPINA7","VASN",0.553220154099287
"247","FCGR3B","VASN",0.494170594754801
"248","CCL14","VASN",0.519655083526398
"249","IL1RL2","GAS6",0.429257768284345
"250","FS","GAS6",0.473891105987038
"251","GLO1","GAS6",0.594768561133399
"252","CCL17","GAS6",0.47377232562726
"253","PAR-1","GAS6",0.491025585212891
"254","SERPINA12","GAS6",0.472787651729408
"255","IgG Fc receptor II-b","GAS6",0.490615019912689
"256","C2","GAS6",0.445935464318962
"257","IGLC2","GAS6",-0.384398062238395
"258","TF","GAS6",0.44643017199686
"259","RAGE","GAS6",0.582954882270345
"260","KIT","GAS6",0.495389609998685
"261","GT","GAS6",0.472647229301623
"262","GDF-2","GAS6",-0.26500892998476
"263","EN-RAGE","GAS6",0.551282447890013
"264","CST5","GAS6",-0.219700351422018
"265","TNFRSF9","GAS6",0.52089990886441
"266","VEGFA","GAS6",0.487891601105151
"267","CD244","GAS6",0.50015553274225
"268","CCL4","GAS6",-0.230226883841547
"269","4E-BP1","GAS6",0.447086084986101
"270","MCP-1","GAS6",0.457033269774417
"271","CSF-1","GAS6",-0.34682793555219
"272","TGM2","GAS6",-0.335961951917388
"273","SCF","GAS6",0.456027398993747
"274","VEGFD","GAS6",0.511813520767248
"275","uPA","GAS6",-0.208639307234309
"276","CD8A","GAS6",0.471690567509011
"277","PARP-1","GAS6",0.575218429149191
"278","HSP 27","GAS6",0.62276072552706
"279","CCL20","GAS6",0.438230645512852
"280","FGF-19","GAS6",0.509976402740838
"281","PRSS2","GAS6",0.524377434812003
"282","TIMP1","GAS6",0.44799979105543
"283","SERPINA7","GAS6",0.478972430010629
"284","NID1","GAS6",0.734623388993073
"285","GP1BA","GAS6",0.574107821895396
"286","CFHR5","GAS6",0.488833038626145
"287","CA1","GAS6",-0.205617506494947
"288","PCOLCE","GAS6",0.547636476159993
"289","TIE1","GAS6",0.531984784621066
"290","LYVE1","GAS6",0.625131150198212
"291","FCGR2A","GAS6",0.578921782206578
"292","TIMD4","GAS6",0.532294310724587
"293","CD84","IL1RL2",0.527895302764014
"294","GLO1","IL1RL2",0.488860788994679
"295","ITGB1BP2","IL1RL2",0.439753940176997
"296","IgG Fc receptor II-b","IL1RL2",0.683631492879302
"297","RAGE","IL1RL2",0.491897179803625
"298","MMP12","IL1RL2",0.593537657724208
"299","TNFRSF9","IL1RL2",0.478439121889912
"300","CCL11","IL1RL2",0.441431039746553
"301","NRP1","IL1RL2",-0.212983116234622
"302","ANGPTL3","IL1RL2",-0.216768141453762
"303","CA1","IL1RL2",-0.241743633704261
"304","IGFBP3","IL1RL2",0.439028543940591
"305","LILRB5","CD84",-0.222679016721432
"306","CCL18","CD84",-0.191358826096363
"307","MCP-1","CD84",-0.182659928398749
"308","AGRP","CD84",-0.192462753893074
"309","ANGPTL3","CD84",-0.238572657057717
"310","ADAM-TS13","MERTK",-0.187294690109553
"311","AMBP","MERTK",-0.313425795497451
"312","OSMR","MERTK",-0.318595247456396
"313","TIE2","MERTK",-0.248968426588192
