"","biomarker","pval.time","pval.condition","pval.interaction"
"139","OID00477",0.00136758160100527,0.6756320706509,0.501068324354458
"140","OID00435",0.0134035236540067,0.577840364129418,0.841110561129399
"141","OID01273",0.339908597790202,0.0147856447006398,0.586146406927055
"142","OID01235",0.74847015141839,0.00768075540702423,0.254487097410188
"143","OID00488",0.967171485627988,0.00124686995860578,0.981634517655968
"144","OID00531",0.234280011245318,0.0512355304570022,0.399845506149378
"145","OID00539",0.0145014210267447,0.900784550295993,0.212239569697926
"146","OID00494",0.521070444923029,0.00768075540702423,0.860563281038566
"147","OID00409",0.313019185303686,0.159299597933225,0.247835494797383
"148","OID01238",0.527067897123818,0.48869540341156,0.334836644245192
"149","OID00454",0.124680024120221,0.0929137212068506,0.857409168265463
"150","OID00533",0.218597591507924,0.281064468122418,0.722847773435265
"151","OID00434",0.521070444923029,0.0467510854641404,0.590399432160996
"152","OID01225",0.948317761955726,0.733382344136405,0.162411904600656
"153","OID00491",0.00417138736084966,0.6756320706509,0.0910419277605597
"154","OID00392",0.051771547048682,0.0885611466536227,0.659145982145352
"155","OID00467",0.00236145704936321,0.0600378549522161,0.590399432160996
"156","OID00449",0.218597591507924,0.775863116981255,0.0910419277605597
"157","OID00451",0.218597591507924,0.48869540341156,0.323243577614347
"158","OID00414",0.0498569452740001,0.141740115017075,0.38751370504321
"159","OID00456",0.197339685008871,0.730252412943391,0.96610446181425
"160","OID01271",0.324511166605785,0.406037904826421,0.545187812412171
"161","OID00462",0.0990618410596755,0.0460745777994072,0.827394889330054
"162","OID00501",0.294629738882355,0.133494353625292,0.482821312089245
"163","OID01233",0.0273459021854137,0.328810393101956,0.722847773435265
"164","OID00445",0.0145014210267447,0.819740194948172,0.0910419277605597
"165","OID00452",0.011824377893606,0.290747155302992,0.501068324354458
"166","OID00400",0.361889036918684,0.0807041585817628,0.887262702089436
"167","OID00541",5.0684548664036e-06,0.00590625269105933,0.139523350107186
"168","OID00465",0.5279226395506,0.044611857777888,0.0948279935148531
"169","OID00511",0.471550423947672,0.988009956153592,0.037334401211907
"170","OID01226",0.0548514997504578,0.247725471430568,0.969572465077214
"171","OID01307",8.8345256999117e-15,0.0363992920143411,0.138315550914704
"172","OID00405",0.0320677040485244,0.000613356022263631,0.482821312089245
"173","OID00430",0.035093781693139,0.526763019871753,0.0339371697221655
"174","OID01234",1.09480539517796e-07,0.0760621302954738,0.542863279750446
"175","OID01246",0.339908597790202,0.820911909206772,0.0910419277605597
"176","OID00380",0.281522147544672,0.995880735218268,0.0339371697221655
"177","OID00480",7.16300921934294e-05,0.171504166356077,0.787167109322889
"178","OID00520",0.0191339488015211,0.410540428110851,0.189999204413376
"179","OID01287",0.0203431960135975,0.044611857777888,0.0910419277605597
"180","OID01223",0.0141938862885814,0.00204361528452051,0.193063184826019
"181","OID01244",6.72748442435726e-10,0.00609514104006049,0.897799363095201
"182","OID01256",0.547444702173582,0.733382344136405,0.555321850637561
"183","OID01303",0.393872165345883,0.180692866069011,0.874342578610152
"184","OID00551",0.361889036918684,0.191644347877535,0.573579480171727
"185","OID01270",4.28633710097764e-05,0.00941394149807742,0.150948290856678
"186","OID01251",1.79395984032824e-05,0.859310410717078,0.306189783789702
"187","OID01239",0.197339685008871,0.852183735793144,0.827394889330054
"188","OID01227",0.0248979844793959,0.0413820184646659,0.998842981118676
"189","OID00545",0.0841408536403425,0.0476558830954821,0.334836644245192
