"","Var1","Var2","value"
"302","uPA","CEACAM8",-0.423543057912126
"303","CD8A","CEACAM8",0.554252945485213
"304","PARP-1","CEACAM8",0.402349735105379
"305","CASP-8","CEACAM8",-0.131034262883531
"306","TNFSF14","CEACAM8",-0.0215570009640667
"307","FGF-19","CEACAM8",-0.320472714087796
"308","AXIN1","CEACAM8",-0.192027936988258
"309","CCL19","CEACAM8",-0.19947172623946
"310","ADA","CEACAM8",-0.0823123373259856
"311","PAM","CEACAM8",-0.171604614377215
"312","PROC","CEACAM8",-0.134218907978064
"313","CCL5","CEACAM8",-0.0671940499981167
"314","MEGF9","CEACAM8",-0.168693898516744
"315","CA3","CEACAM8",-0.0236931928732895
"316","IL7R","CEACAM8",-0.0231733865500399
"317","CHL1","CEACAM8",-0.102518544314893
"318","F11","CEACAM8",-0.131820563846388
"319","NCAM1","CEACAM8",-0.117545153481608
"320","ICAM3","CEACAM8",-0.123533885359688
"321","LILRB1","CEACAM8",-0.180874228107628
"322","FCN2","CEACAM8",-0.224298689194389
"323","TIMP1","CEACAM8",-0.141934980656452
"324","SERPINA7","CEACAM8",-0.141608476926406
"325","SAA4","CEACAM8",-0.0636473968595833
"326","VCAM1","CEACAM8",-0.026395727279915
"327","CD46","CEACAM8",-0.170084585557698
"328","TCN2","CEACAM8",-0.0891607596652312
"329","GNLY","CEACAM8",-0.162733684722775
"330","SELL","CEACAM8",-0.0863490866993354
"331","MET","CEACAM8",-0.0524571480683109
"332","CA1","CEACAM8",-0.132595265433649
"333","FCGR3B","CEACAM8",-0.046430125103987
"334","COMP","CEACAM8",-0.133115596230025
"335","QPCT","CEACAM8",-0.118712911412644
"336","SERPINA5","CEACAM8",-0.142061078555374
"337","TIE1","CEACAM8",-0.0255727200590735
"338","FCGR2A","CEACAM8",-0.0436426166231171
"339","TIMD4","CEACAM8",-0.0825602544335152
"340","CD84","LOX-1",-0.0478597329941297
"341","KIM1","LOX-1",-0.0605423511550719
"342","AMBP","LOX-1",-0.101518508525836
"343","APOM","LOX-1",-0.0316382745086649
"344","HO-1","LOX-1",-0.0298400349314122
"345","CXCL1","LOX-1",-0.047967450899592
"346","CD40-L","LOX-1",-0.0521444865929484
"347","SERPINA12","LOX-1",-0.0456722057582823
"348","LILRB2","LOX-1",-0.141515329275689
"349","TF","LOX-1",-0.0705262027164575
"350","KIT","LOX-1",-0.0546755111633312
"351","GDF-2","LOX-1",-0.0500148284354897
"352","hOSCAR","LOX-1",-0.132954856490694
"353","CD40","LOX-1",-0.0387956734461639
"354","TRAIL","LOX-1",-0.0264757974085614
"355","STAMBP","LOX-1",-0.0869706784842543
"356","MMP-10","LOX-1",-0.0740667913922499
"357","CCL25","LOX-1",-0.0241880006238965
"358","MCP-4","LOX-1",-0.120870930388103
"359","HGF","LOX-1",-0.0304183224491234
"360","CCL3","LOX-1",-0.047092139447642
"361","4E-BP1","LOX-1",-0.0629592460991957
"362","DNER","LOX-1",-0.0491273071007024
"363","CDCP1","LOX-1",-0.147495376795351
"364","THPO","LOX-1",-0.0699054938726067
"365","CSF-1","LOX-1",-0.0279932786922343
"366","TGM2","LOX-1",-0.0380011523679124
"367","CD5","LOX-1",-0.0619406922660753
"368","uPA","LOX-1",-0.152080311012604
"369","FGF-19","LOX-1",-0.0519149668477796
"370","AXIN1","LOX-1",-0.130537822984968
"371","CCL19","LOX-1",-0.0765948899173208
"372","PROC","LOX-1",-0.0722780922135312
"373","MEGF9","LOX-1",-0.0265544409697616
"374","CHL1","LOX-1",-0.0574370891871955
"375","NOTCH1","LOX-1",-0.0783651867988535
"376","ENG","LOX-1",-0.0492828805731609
"377","FETUB","LOX-1",-0.0384818154138899
"378","TIMP1","LOX-1",-0.0576851508904013
"379","CD46","LOX-1",-0.0417755125593643
"380","SELL","LOX-1",-0.0824840118175682
"381","CA1","LOX-1",-0.0443844697179283
"382","GAS6","BOC",-0.0250262496370539
"383","SRC","BOC",0.449077148159568
"384","AMBP","BOC",-0.0250061044729731
"385","CXCL1","BOC",-0.0282615227603114
"386","PGF","BOC",-0.04198455609697
"387","IL18","BOC",-0.0231729564090061
"388","hOSCAR","BOC",-0.0922946491726872
"389","IL-10RB","BOC",-0.0859639479345897
"390","CCL28","BOC",-0.0622324551279596
"391","FGF-21","BOC",-0.0645695432828939
"392","FABP2","BOC",-0.021296358949394
"393","uPA","BOC",-0.123905997769772
"394","FGF-19","BOC",-0.0253658103724886
"395","CCL19","BOC",-0.189378381574437
"396","PAM","BOC",-0.204349275963769
"397","PROC","BOC",-0.0374410627232941
"398","CCL5","BOC",-0.116880518405551
"399","NOTCH1","BOC",-0.0349377842829916
"400","NRP1","BOC",-0.0918783762217084
"401","TIMP1","BOC",-0.0332307510381638
"402","SAA4","BOC",-0.0968135746375302
"403","TCN2","BOC",-0.0797506031846436
"404","CR2","BOC",-0.0599280606576925
"405","ANGPTL3","BOC",-0.11525075268019
"406","MBL2","BOC",-0.0254107044473881
"407","TIMD4","BOC",-0.0711123656870674
"408","AMBP","SORT1",-0.0432825646413156
"409","ITGB1BP2","SORT1",-0.169949629874186
"410","GT","SORT1",0.407630073420719
"411","CCL25","SORT1",-0.0892235617244079
"412","LEP","SORT1",-0.0815192215818367
"413","TGM2","SORT1",-0.0907858957157413
"414","FGF-19","SORT1",-0.0356267812920175
"415","PROC","SORT1",-0.160907324565371
"416","CHL1","SORT1",-0.0585512691180921
"417","F11","SORT1",-0.0292955587554707
"418","NCAM1","SORT1",-0.0653604502692816
"419","ICAM3","SORT1",-0.024281934610703
"420","TCN2","SORT1",-0.132892650116186
"421","GNLY","SORT1",-0.14111486136232
"422","MET","SORT1",-0.0595355117706716
"423","QPCT","SORT1",-0.065597451034897
"424","BMP-6","TRAIL-R2",0.41855794758911
"425","GAS6","TRAIL-R2",0.390471582607271
"426","MERTK","TRAIL-R2",-0.157034171158814
"427","SCF","TRAIL-R2",0.494273005228036
"428","AMBP","TRAIL-R2",0.407659948967991
"429","LILRB5","TRAIL-R2",0.502771597557419
"430","APOM","TRAIL-R2",0.43291399412444
"431","PSGL-1","TRAIL-R2",0.50044558797605
"432","HO-1","TRAIL-R2",0.387396879247054
"433","PRELP","TRAIL-R2",0.394561742942773
"434","PRSS27","TRAIL-R2",0.55394061954833
"435","CXCL1","TRAIL-R2",0.389902253681809
"436","SERPINA12","TRAIL-R2",0.393077405548157
"437","MMP7","TRAIL-R2",0.552520036178915
"438","C2","TRAIL-R2",0.450185815928378
"439","LPL","TRAIL-R2",0.446610436717108
"440","RAGE","TRAIL-R2",0.43494483672705
"441","MMP12","TRAIL-R2",-0.0367863847844123
"442","TNFRSF9","TRAIL-R2",-0.0234583811384891
"443","IL7","TRAIL-R2",0.536858680549632
"444","CCL23","TRAIL-R2",0.435608352681581
